 iperf3 -c 192.168.181.214 -t 300
Connecting to host 192.168.181.214, port 5201
[  4] local 192.168.206.92 port 33596 connected to 192.168.181.214 port 5201
[  4]  65.00-66.00  sec   505 MBytes  4.24 Gbits/sec    0   2.71 MBytes       
[  4]  66.00-67.00  sec   496 MBytes  4.16 Gbits/sec    0   2.84 MBytes       
[  4]  67.00-68.00  sec   496 MBytes  4.16 Gbits/sec    0   2.96 MBytes       
[  4]  68.00-69.00  sec   512 MBytes  4.30 Gbits/sec   22   2.10 MBytes       
[  4]  69.00-70.00  sec   499 MBytes  4.18 Gbits/sec    0   2.32 MBytes       
[  4]  70.00-71.00  sec   481 MBytes  4.04 Gbits/sec  107   1.79 MBytes       
[  4]  71.00-72.00  sec   502 MBytes  4.21 Gbits/sec    8   1.05 MBytes       
[  4]  72.00-73.00  sec   446 MBytes  3.74 Gbits/sec    3    819 KBytes       
[  4]  73.00-74.00  sec   438 MBytes  3.67 Gbits/sec    0   1.14 MBytes       
[  4]  74.00-75.00  sec   457 MBytes  3.83 Gbits/sec    0   1.40 MBytes       
[  4]  75.00-76.00  sec   482 MBytes  4.05 Gbits/sec   10   1.26 MBytes       
[  4]  76.00-77.00  sec   465 MBytes  3.90 Gbits/sec    0   1.49 MBytes       
[  4]  77.00-78.00  sec   499 MBytes  4.19 Gbits/sec    0   1.72 MBytes       
[  4]  78.00-79.00  sec   491 MBytes  4.12 Gbits/sec    7   1.42 MBytes       
[  4]  79.00-80.00  sec   492 MBytes  4.12 Gbits/sec    0   1.65 MBytes       
[  4]  80.00-81.00  sec   447 MBytes  3.75 Gbits/sec    0   1.84 MBytes       
[  4]  81.00-82.00  sec   517 MBytes  4.34 Gbits/sec    0   2.03 MBytes       
[  4]  82.00-83.00  sec   471 MBytes  3.95 Gbits/sec    0   2.20 MBytes       
[  4]  83.00-84.00  sec   464 MBytes  3.89 Gbits/sec    0   2.35 MBytes       
[  4]  84.00-85.00  sec   492 MBytes  4.13 Gbits/sec    0   2.50 MBytes       
[  4]  85.00-86.00  sec   546 MBytes  4.58 Gbits/sec    0   2.65 MBytes       
[  4]  86.00-87.00  sec   521 MBytes  4.37 Gbits/sec    0   2.79 MBytes       
[  4]  87.00-88.00  sec   437 MBytes  3.67 Gbits/sec    0   2.91 MBytes       
[  4]  88.00-89.00  sec   497 MBytes  4.17 Gbits/sec    9   2.22 MBytes       
[  4]  89.00-90.00  sec   495 MBytes  4.15 Gbits/sec    0   2.40 MBytes       
[  4]  90.00-91.00  sec   531 MBytes  4.45 Gbits/sec    0   2.55 MBytes       
[  4]  91.00-92.00  sec   549 MBytes  4.60 Gbits/sec    0   2.66 MBytes       
[  4]  92.00-93.00  sec   509 MBytes  4.27 Gbits/sec    0   2.79 MBytes       
[  4]  93.00-94.00  sec   456 MBytes  3.82 Gbits/sec   45   1.57 MBytes       
[  4]  94.00-95.00  sec   466 MBytes  3.91 Gbits/sec    0   1.78 MBytes       
[  4]  95.00-96.00  sec   606 MBytes  5.09 Gbits/sec    0   2.02 MBytes       
